No.,건물명,용도코드,용도군,면적,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12
1,외솔관,3,복합용도,"8,281.79 ","45,100 ","37,060 ","37,010 ","38,410 ","31,410 ","33,210 ","40,210 ","44,930 ","33,950 ","35,450 ","34,850 ","41,670 ","33,790 ","30,430 ","34,160 ","40,670 ","37,420 ","33,360 ","31,451 ","41,980 ","49,800 "
2,위당관,3,복합용도,"8,635.84 ","70,648 ","53,179 ","51,467 ","37,896 ","41,704 ","41,215 ","51,204 ","49,753 ","38,276 ","67,610 ","60,436 ","61,237 ","42,967 ","43,430 ","50,272 ","58,702 ","52,476 ","46,454 ","34,209 ","54,406 ","66,020 "
3,교육과학관,2,강의실,"7,121.39 ","49,852 ","35,761 ","42,923 ","40,694 ","40,286 ","35,375 ","36,386 ","31,317 ","44,774 ","44,540 ","37,914 ","46,493 ","40,243 ","37,740 ","34,368 ","33,828 ","27,104 ","35,386 ","33,451 ","45,814 ","51,580 "
4,대우관,2,강의실,"33,386.60 ","196,849 ","154,540 ","159,498 ","139,200 ","134,609 ","160,816 ","173,858 ","166,353 ","155,573 ","151,926 ","147,463 ","160,577 ","113,074 ","124,004 ","163,200 ","151,305 ","137,689 ","136,106 ","94,583 ","149,356 ","186,212 "
5,과학관,1,연구행정,"21,389.56 ","362,289 ","338,910 ","346,245 ","324,792 ","328,976 ","384,532 ","415,834 ","442,344 ","304,175 ","297,000 ","286,200 ","322,200 ","289,800 ","308,700 ","357,300 ","353,700 ","357,300 ","318,600 ","315,900 ","317,700 ","382,000 "
6,과학원,3,복합용도,"13,916.96 ","368,653 ","331,484 ","346,506 ","337,168 ","384,670 ","456,440 ","507,840 ","544,299 ","376,226 ","309,897 ","304,102 ","328,748 ","272,890 ","312,580 ","396,390 ","417,600 ","412,270 ","343,970 ","312,180 ","321,031 ","364,382 "
7,제1공학관,2,강의실,"21,191.66 ","103,500 ","98,100 ","93,600 ","98,100 ","95,400 ","108,000 ","139,500 ","144,000 ","116,100 ","96,060 ","93,240 ","98,100 ","81,000 ","103,500 ","95,400 ","111,600 ","108,900 ","95,400 ","86,400 ","99,000 ","120,600 "
8,제2공학관,2,강의실,"14,776.47 ","255,600 ","237,600 ","219,600 ","234,000 ","216,000 ","237,600 ","298,800 ","302,400 ","255,600 ","269,940 ","241,200 ","244,800 ","216,000 ","288,000 ","307,800 ","307,800 ","324,000 ","273,600 ","241,200 ","244,800 ","277,200 "
9,제3공학관,2,강의실,"14,784.00 ","115,200 ","108,000 ","117,000 ","131,400 ","126,000 ","147,600 ","198,000 ","210,600 ","171,000 ","149,908 ","131,216 ","136,800 ","118,800 ","147,600 ","122,400 ","140,400 ","140,400 ","118,800 ","102,600 ","111,600 ","135,000 "
10,원두우,5,기타,"9,921.92 ","67,320 ","52,800 ","51,280 ","42,960 ","52,640 ","78,160 ","92,920 ","95,720 ","69,400 ","48,840 ","50,880 ","54,800 ","39,720 ","47,760 ","78,040 ","92,880 ","84,680 ","74,520 ","41,000 ","54,040 ","63,200 "
11,연희관,2,강의실,"6,659.61 ","45,262 ","33,354 ","35,597 ","34,498 ","32,246 ","32,830 ","37,762 ","37,913 ","35,381 ","40,012 ","37,823 ","41,918 ","32,434 ","30,535 ","37,753 ","34,590 ","35,798 ","35,550 ","28,113 ","42,787 ","46,877 "
12,빌링슬링관,2,강의실,"2,249.75 ","24,480 ","20,480 ","12,400 ","12,480 ","10,880 ","11,360 ","12,800 ","13,440 ","11,280 ","20,000 ","17,280 ","12,880 ","10,640 ","9,520 ","11,040 ","13,680 ","13,200 ","11,200 ","12,000 ","16,800 ","18,080 "
13,광복관,2,강의실,"11,858.61 ","119,234 ","94,229 ","84,603 ","64,554 ","73,313 ","93,807 ","107,287 ","113,599 ","75,111 ","105,213 ","90,621 ","90,715 ","55,272 ","71,200 ","96,055 ","92,179 ","98,998 ","85,424 ","66,548 ","100,853 ","127,757 "
14,음악대,2,강의실,"8,804.69 ","67,367 ","52,828 ","43,414 ","28,458 ","35,149 ","41,555 ","42,245 ","49,865 ","35,951 ","51,715 ","50,349 ","43,883 ","23,168 ","28,534 ","30,663 ","39,187 ","36,925 ","40,103 ","31,100 ","48,269 ","64,682 "
15,삼성관,2,강의실,"11,334.76 ","81,000 ","77,400 ","81,000 ","75,600 ","75,600 ","77,400 ","84,600 ","104,400 ","75,600 ","79,200 ","70,200 ","82,800 ","72,000 ","70,200 ","77,400 ","73,800 ","79,200 ","70,200 ","75,600 ","88,200 ","93,600 "
16,경영관,3,복합용도,"20,134.75 ","164,610 ","123,058 ","136,538 ","120,627 ","132,587 ","154,428 ","191,477 ","174,689 ","161,921 ","148,552 ","125,619 ","145,813 ","101,032 ","115,956 ","149,385 ","206,928 ","179,524 ","166,582 ","123,410 ","145,363 ","166,430 "
17,새천년관,3,복합용도,"14,201.07 ","74,694 ","57,283 ","65,136 ","61,403 ","59,155 ","61,505 ","74,042 ","71,751 ","64,056 ","67,433 ","67,785 ","73,817 ","58,973 ","63,460 ","70,870 ","71,000 ","73,486 ","70,928 ","52,989 ","69,213 ","73,399 "
18,언어연구교육,3,복합용도,"8,397.36 ","51,590 ","38,324 ","37,199 ","30,932 ","30,902 ","45,424 ","56,262 ","51,704 ","35,175 ","46,710 ","38,141 ","42,328 ","31,484 ","30,828 ","49,888 ","59,123 ","55,960 ","44,914 ","22,725 ","39,949 ","46,050 "
19,중앙도서관,5,기타,"19,359.24 ","244,000 ","227,805 ","240,323 ","270,647 ","327,392 ","427,047 ","422,021 ","451,640 ","253,615 ","257,000 ","242,000 ","292,000 ","298,000 ","349,000 ","455,000 ","437,000 ","468,000 ","468,000 ","313,000 ","277,000 ","275,000 "
20,무악5학사,4,기숙사,"6,451.09 ","46,335 ","39,144 ","42,253 ","37,250 ","38,255 ","48,853 ","59,211 ","61,839 ","40,947 ","32,653 ","24,453 ","27,636 ","25,039 ","30,565 ","41,160 ","57,053 ","56,634 ","48,698 ","35,365 ","45,177 ","48,475 "
21,학생회관,1,연구행정,"11,853.93 ","301,013 ","248,188 ","201,386 ","194,222 ","151,885 ","175,792 ","220,086 ","201,030 ","156,547 ","233,487 ","239,441 ","228,829 ","158,899 ","153,027 ","191,661 ","208,497 ","213,716 ","179,833 ","138,997 ","222,175 ","294,403 "
22,루스채플,1,연구행정,"2,495.32 ","35,214 ","32,400 ","21,708 ","12,543 ","8,683 ","11,014 ","13,588 ","17,928 ","9,568 ","28,783 ","31,838 ","23,396 ","10,371 ","8,282 ","11,576 ","16,804 ","17,526 ","10,452 ","8,361 ","25,085 ","41,888 "
23,생활관,4,기숙사,"32,448.25 ","287,912 ","211,690 ","180,194 ","134,038 ","116,260 ","137,813 ","205,737 ","208,594 ","145,310 ","142,692 ","128,280 ","186,500 ","135,640 ","121,093 ","157,023 ","202,316 ","176,818 ","141,948 ","138,420 ","213,422 ","288,363 "
24,상남경영관,3,복합용도,"6,025.89 ","63,980 ","47,912 ","55,714 ","49,964 ","58,060 ","72,768 ","76,652 ","69,129 ","43,229 ","62,984 ","67,259 ","71,752 ","62,204 ","74,762 ","83,408 ","93,471 ","86,434 ","79,578 ","55,404 ","72,984 ","75,910 "
25,공학원,1,연구행정,"66,829.80 ","602,285 ","576,569 ","468,791 ","487,084 ","487,830 ","556,907 ","675,815 ","678,383 ","557,041 ","600,150 ","584,567 ","515,234 ","440,044 ","610,860 ","579,242 ","666,432 ","676,360 ","571,449 ","499,380 ","530,079 ","634,099 "
26,동문회관,1,연구행정,"7,462.18 ","96,084 ","81,972 ","82,728 ","71,952 ","78,204 ","106,080 ","110,760 ","117,252 ","96,936 ","86,182 ","86,304 ","82,265 ","74,820 ","80,818 ","98,688 ","103,680 ","95,664 ","93,348 ","66,756 ","85,572 ","106,956 "
27,산학협동연구관,1,연구행정,"8,935.31 ","65,695 ","59,044 ","55,474 ","54,660 ","55,100 ","64,120 ","79,920 ","86,300 ","61,260 ","80,612 ","78,800 ","84,485 ","61,160 ","82,500 ","72,420 ","92,360 ","95,860 ","68,600 ","61,020 ","59,553 ","72,555 "
28,첨단과학기술,1,연구행정,"15,925.18 ","598,000 ","563,000 ","544,714 ","487,000 ","556,000 ","636,000 ","694,000 ","786,000 ","535,000 ","637,000 ","452,000 ","530,000 ","487,000 ","524,000 ","642,000 ","678,000 ","708,000 ","584,000 ","573,000 ","512,000 ","604,000 "
29,백주년기념관,5,기타,"10,620.23 ","1,493,844 ","1,168,217 ","635,444 ","141,737 ","67,989 ","84,603 ","93,210 ","133,927 ","85,882 ","1,119,863 ","1,061,033 ","736,720 ","112,056 ","50,000 ","77,000 ","89,000 ","116,000 ","93,000 ","61,000 ","765,427 ","1,346,229 "
30,연세삼성학술정보관,5,기타,"34,236.96 ","290,852 ","272,489 ","247,617 ","220,325 ","259,257 ","364,715 ","373,108 ","412,991 ","310,020 ","266,747 ","263,676 ","273,647 ","217,201 ","265,000 ","374,000 ","361,000 ","392,000 ","385,000 ","211,000 ","260,548 ","303,491 "
31,재활학교,1,연구행정,"5,113.00 ","45,760 ","46,517 ","34,168 ","25,912 ","24,739 ","27,894 ","38,066 ","34,564 ","30,142 ","39,952 ","35,649 ","30,830 ","31,620 ","14,019 ","23,234 ","30,422 ","29,146 ","23,885 ","24,860 ","35,511 ","57,067 "
32,어린이생화지도,1,연구행정,"2,017.77 ","17,102 ","13,996 ","14,764 ","13,094 ","13,136 ","13,634 ","15,090 ","12,742 ","11,644 ","14,018 ","15,602 ","17,500 ","11,480 ","10,524 ","11,918 ","13,606 ","11,900 ","11,930 ","10,696 ","15,792 ","18,344 "
33,GS산학협력관,1,연구행정,"4,047.50 ","115,437 ","112,433 ","79,896 ","56,397 ","48,973 ","58,899 ","77,149 ","91,352 ","75,539 ","105,292 ","96,158 ","84,106 ","51,194 ","62,084 ","68,060 ","90,939 ","90,403 ","71,667 ","56,244 ","80,146 ","119,213 "
34,SK국제학사,4,기숙사,"23,300.61 ","327,884 ","246,973 ","188,488 ","140,484 ","129,363 ","157,157 ","211,108 ","202,700 ","157,816 ","275,810 ","226,313 ","213,725 ","139,589 ","124,629 ","153,077 ","204,856 ","162,323 ","145,190 ","143,336 ","220,003 ","312,728 "
35,유진어린이집,5,기타,"1,844.94 ","112,051 ","49,399 ","35,346 ","21,722 ","16,371 ","14,686 ","18,540 ","19,527 ","9,840 ","49,929 ","45,828 ","33,781 ","25,537 ","19,819 ","13,944 ","17,114 ","15,544 ","14,412 ","16,607 ","14,965 ","17,117 "
